name,type,cy,by,ud
AAPG Bulletin,J,18,0,0
Environmental Geosciences,J,3,0,0
Journal of Sedimentary Research,J,0,476,0
Control and Intelligent Systems,J,12,0,109
International Journal of Modelling and Simulation,J,25,0,299
International Journal of Power and Energy Systems,J,13,0,137
SCRIPT-ed,J,22,0,0
Learned Publishing,J,11,0,62
Applied Mechanics Reviews,J,3,0,0
Journal of Applied Mechanics,J,26,0,0
Journal of Biomechanical Engineering,J,19,0,0
Journal of Computational and Nonlinear Dynamics,J,13,0,0
Journal of Computing and Information Science in Engineering,J,13,0,0
Journal of Dynamic Systems Measurement and Control,J,13,0,0
Journal of Electronic Packaging,J,19,0,0
Journal of Energy Resources Technology,J,12,0,0
Journal of Engineering for Gas Turbines and Power,J,32,0,0
Journal of Fluids Engineering,J,37,0,0
Journal of Fuel Cell Science and Technology,J,20,0,0
Journal of Heat Transfer,J,49,0,0
Journal of Manufacturing Science and Engineering,J,30,0,0
Journal of Mechanical Design,J,40,0,0
Journal of Medical Devices,J,9,0,0
Journal of Offshore Mechanics and Arctic Engineering,J,9,0,0
Journal of Pressure Vessel Technology,J,28,0,0
Journal of Solar Energy Engineering,J,21,0,0
Journal of Turbomachinery,J,23,0,0
Journal of Vibration and Acoustics,J,12,0,0
Geotechnical Testing Journal,J,14,0,18
Journal of ASTM International,J,50,0,45
Journal of Testing and Evaluation,J,16,0,13
Journal of the Acarological Society of Japan,J,7,0,0
The Journal of the Acoustical Society of America,J,135,0,0
Acoustical Science and Technology,J,11,0,0
Acta Dermato-Venereologica,J,25,0,0
Journal of Rehabilitation Medicine,J,12,0,0
Agricultural History,J,9,0,9
Journal of the Air &amp; Waste Management Association,J,47,0,0
??pit??s - ??pit??szettudom??ny,J,4,0,15
Across Languages and Cultures,J,9,0,43
Acta Agronomica Hungarica,J,23,0,105
Acta Alimentaria,J,8,0,115
Acta Antiqua,J,7,0,13
Acta Archaeologica,J,6,0,28
Acta Biologica Hungarica,J,23,0,83
Acta Ethnographica Hungarica,J,6,0,38
Acta Geodaetica et Geophysica Hungarica,J,8,0,8
Acta Geologica Hungarica,J,1,0,30
Acta Historiae Artium,J,18,0,0
Acta Juridica Hungarica,J,7,0,51
Acta Linguistica Hungarica,J,9,0,32
Acta Microbiologica et Immunologica Hungarica,J,11,0,10
Acta Oeconomica,J,11,0,57
Acta Orientalia,J,44,0,158
Acta Physiologica Hungarica,J,4,0,47
Acta Phytopathologica et Entomologica Hungarica,J,22,0,22
Acta Veterinaria Hungarica,J,13,0,71
