name,type,cy,by,ud
American Journal of Critical Care,J,29,0,21
Critical Care Nurse,J,11,0,11
AAPG Bulletin,J,20,0,0
Environmental Geosciences,J,4,0,0
Nordic Pulp and Paper Research Journal,J,43,0,0
Acta Endocrinologica (Bucharest),J,8,0,1
Control and Intelligent Systems,J,21,0,553
International Journal of Computational Bioscience,J,7,0,7
International Journal of Computers and Applications,J,33,0,684
International Journal of Modelling and Simulation,J,52,0,775
International Journal of Power and Energy Systems,J,23,0,674
International Journal of Robotics and Automation,J,36,0,334
Acta Virologica,J,10,0,0
Ekologia,J,8,0,0
General Physiology and Biophysics,J,26,0,0
Metallic Materials,J,9,0,0
Neoplasma,J,28,0,0
INTERNATIONAL JOURNAL ON Advances in Information Sciences and Service Sciences,J,9,0,0
International Journal of Advancements in Computing Technology,J,23,0,13
International Journal of Digital Content Technology and its Applications,J,31,0,0
Journal of Convergence Information Technology,J,17,0,0
Learned Publishing,J,20,0,0
American Journal of Occupational Therapy,J,50,0,17
Pesquisa Brasileira em Odontopediatria e Cl??nica Integrada,J,42,0,0
ASME 2007 InterPACK Conference Volume 1,C,0,124,0
ASME 2007 InterPACK Conference Volume 2,C,0,129,0
ASME 2009 4th Frontiers in Biomedical Devices,C,49,0,0
ASME 2009 7th International Conference on Fuel Cell Science Engineering and Technology,C,111,0,0
ASME 2009 Rail Transportation Division Fall Technical Conference,C,19,0,0
ASME/STLE 2009 International Joint Tribology Conference,C,128,0,0
Advances in Electronic Packaging Parts A B and C,C,0,0,304
Applied Mechanics Reviews,J,4,0,19
Heat Transfer Volume 1,C,0,0,115
Heat Transfer Volume 2,C,0,0,97
Heat Transfer Volume 3,C,0,0,121
Heat Transfer Volume 4,C,0,0,129
Journal of Applied Mechanics,J,22,0,0
Journal of Biomechanical Engineering,J,7,0,9
Journal of Computational and Nonlinear Dynamics,J,14,0,0
Journal of Computing and Information Science in Engineering,J,11,0,0
Journal of Dynamic Systems Measurement and Control,J,18,0,0
Journal of Electronic Packaging,J,10,0,0
Journal of Energy Resources Technology,J,8,0,0
Journal of Engineering Materials and Technology,J,17,0,0
Journal of Engineering for Gas Turbines and Power,J,65,0,0
Journal of Fluids Engineering,J,34,0,0
Journal of Fuel Cell Science and Technology,J,50,0,0
Journal of Heat Transfer,J,56,0,0
Journal of Manufacturing Science and Engineering,J,23,0,0
Journal of Mechanical Design,J,30,458,0
Journal of Mechanisms Transmissions and Automation in Design,J,0,545,0
Journal of Mechanisms and Robotics,J,15,0,0
Journal of Medical Devices,J,10,0,0
Journal of Offshore Mechanics and Arctic Engineering,J,9,0,0
Journal of Pressure Vessel Technology,J,37,0,47
Journal of Solar Energy Engineering,J,18,470,0
Journal of Turbomachinery,J,21,32,0
Journal of Vibration and Acoustics,J,31,0,15
Volume 1 Active Materials Mechanics and Behavior Modeling Simulation and Control,C,78,0,0
Volume 1 Aircraft Engine Ceramics Coal Biomass and Alternative Fuels Controls Diagnostics and Instrumentation Education Electric Power Awards and Honors,C,93,0,0
Volume 1 Heat Transfer in Energy Systems Thermophysical Properties Heat Transfer Equipment Heat Transfer in Electronic Equipment,C,114,0,0
Volume 1 Offshore Technology,C,98,0,0
Volume 1 Plant Operations Maintenance Engineering Modifications and Life Cycle Component Reliability and Materials Issues Next Generation Systems,C,115,0,0
Volume 2 Combustion Fuels and Emissions,C,93,0,0
Volume 2 Multifunctional Materials Enabling Technologies and Integrated System Design Structural Health Monitoring/NDE Bio-Inspired Smart Materials and Structures,C,81,0,0
Volume 2 Structural Integrity Safety and Security Advanced Applications of Nuclear Technology Balance of Plant for Nuclear Applications,C,122,0,0
Volume 2 Structures Safety and Reliability,C,96,0,0
Volume 3 Heat Transfer Parts A and B,C,126,0,0
Volume 3 Pipeline and Riser Technology,C,94,0,0
Volume 3 Thermal Hydraulics Current Advanced Reactors Plant Design Construction Workforce and Public Acceptance,C,119,0,0
Volume 4 Codes Standards Licensing and Regulatory Issues Student Paper Competition,C,96,0,0
Volume 4 Cycle Innovations Industrial and Cogeneration Manufacturing Materials and Metallurgy Marine,C,96,0,0
Volume 4 Ocean Engineering Ocean Renewable Energy Ocean Space Utilization Parts A and B,C,181,0,0
Volume 5 Fuel Cycle and High and Low Level Waste Management and Decommissioning Computational Fluid Dynamics (CFD) Neutronics Methods and Coupled Codes Instrumentation and Control,C,100,0,0
Volume 5 Microturbines and Small Turbomachinery Oil and Gas Applications,C,52,0,0
Volume 5 Polar and Arctic Sciences and Technology CFD and VIV,C,93,0,0
Volume 6 Materials Technology C C Mei Symposium on Wave Mechanics and Hydrodynamics Offshore Measurement and Data Interpretation,C,85,0,0
Volume 6 Structures and Dynamics Parts A and B,C,116,0,0
Volume 7 Offshore Geotechnics Petroleum Technology,C,76,0,0
Volume 7 Turbomachinery Parts A and B,C,159,0,0
29th Symposium on Pesticide Formulations and Delivery Systems,B,14,0,0
Advances in Electrochemical Techniques for Corrosion Monitoring and Measurement,B,18,0,18
Black Box Data from Accident Vehicles Methods of Retrieval Translation and Interpretation,B,6,0,0
Business Performance Excellence through Total Quality Management???2nd Edition,B,14,0,0
C0231 |Test Method for Air Content of Freshly Mixed Concrete by the Pressure Method,S,1,0,0
C0296 |Specification for Asbestos-Cement Pressure Pipe,S,1,0,0
C0330 |Specification for Lightweight Aggregates for Structural Concrete,S,1,0,0
C0367 |Test Methods for Strength Properties of Prefabricated Architectural Acoustical Tile or Lay-In Ceiling Panels,S,1,0,0
C0508 |Specification for Asbestos-Cement Underdrain Pipe,S,1,0,0
C0836 |Specification for High Solids Content Cold Liquid-Applied Elastomeric Waterproofing Membrane for Use with Separate Wearing Course,S,1,0,0
C1119 |Test Method for Vacuum Drainage of Asbestos-Cement Mixes,S,1,0,0
C1121 |Test Method for Turner and Newall (T and N) Wet-Length Classification of Asbestos,S,1,0,0
C1122 |Test Method for Wet Volume of Asbestos,S,1,0,0
C1123 |Test Method for Compressibility and Recovery of Asbestos,S,1,0,0
C1124 |Test Method for Kerosene Retention of Asbestos,S,1,0,0
C1133 |Test Method for Nondestructive Assay of Special Nuclear Material in Low-Density Scrap and Waste by Segmented Passive Gamma-Ray Scanning,S,1,0,0
C1162 |Test Method for Loose Density of Asbestos,S,1,0,0
C1313 |Specification for Sheet Radiant Barriers for Building Construction Applications,S,1,0,0
C1399 |Test Method for Obtaining Average Residual-Strength of Fiber-Reinforced Concrete,S,1,0,0
Cement Concrete and Aggregates,J,0,494,228
Classification System for Carbon Blacks Used in Rubber Products,S,1,0,0
Classification System for Nonmetallic Gasket Materials,S,1,0,0
Classification for Municipal-Mixed Nonferrous Metals (MNM),S,1,0,0
Consumer Safety Specification for Non-Powered Scooters,S,1,0,0
D0036 |Test Method for Softening Point of Bitumen (Ring-and-Ball Apparatus),S,1,0,0
D0228 |Test Methods for Sampling Testing and Analysis of Asphalt Roll Roofing Cap Sheets and Shingles Used in Roofing and Waterproofing,S,1,0,0
D0299 |Specification for Asbestos Yarns,S,1,0,0
D0315 |Specification for Woven Asbestos Tape,S,1,0,0
D0375 |Specification for Asbestos Roving,S,1,0,0
D0579 |Specification for Greige Woven Glass Fabrics,S,1,0,0
D0628 |Specification for Asbestos Tubular Sleeving,S,1,0,0
D0946 |Specification for Penetration-Graded Asphalt Cement for Use in Pavement Construction,S,1,0,0
D1061 |Specification for Asbestos Lap,S,1,0,0
