name,type,cy,by,ud
AAPG Bulletin,J,12,0,40
Environmental Geosciences,J,4,0,0
Nordic Pulp and Paper Research Journal,J,13,0,0
Learned Publishing,J,13,0,48
ANES/ASME 2006 Joint XXX,C,20,0,0
ASME 2006 Fourth International Conference on Fuel Cell Science Engineering and Technology Parts A and B,C,144,0,0
ASME 2006 Internal Combustion Engine Division Fall Technical Conference (ICEF2006),C,45,0,0
ASME 2006 Internal Combustion Engine Division Spring Technical Conference (ICES2006),C,85,0,0
ASME 4th International Conference on Nanochannels Microchannels and Minichannels Parts A and B,C,179,0,0
Aging Management and Component Analysis,C,0,32,0
Aging Management and License Renewal,C,0,24,0
Analysis of Bolted Joints,C,0,53,0
Application of Fracture Mechanics in Failure Assessment,C,0,21,0
Applied Mechanics Reviews,J,6,0,0
CANEUS2006 MNT for Aerospace Applications,C,53,0,0
Computational Mechanics Developments and Applications,C,0,22,0
Computational Technologies for Fluid/Thermal/Structural/Chemical Systems With Industrial Applications Volume 1,C,0,72,0
Computational Weld Mechanics Constraint and Weld Fracture,C,0,25,0
Computer Technology and Applications,C,0,73,0
Design and Analysis Methods and Fitness for Service Evaluations for Pressure Vessels and Components,C,0,20,0
Design and Analysis of Piping Vessels and Components,C,0,26,0
Design and Analysis of Pressure Vessels Heat Exchangers and Piping Components,C,0,27,0
Design and Analysis of Pressure Vessels and Piping Implementation of ASME B31 Fatigue ASME Section VIII and Buckling Analyses,C,0,18,0
Elevated Temperature Design and Analysis Nonlinear Analysis and Plastic Components,C,0,31,0
Emerging Technologies in Fluids Structures and Fluid Structure Interactions Volume 1 Fluid Dynamics Fluid Structure Interaction and High Explosive Detonation,C,0,27,0
Emerging Technology in Fluids Structures and Fluid Structure Interactions,C,0,40,0
Emerging Technology in Fluids Structures and Fluid Structure Interactions Volume 1 Fluid Dynamics and Fluid Structure Interactions,C,0,28,0
Experience With Creep-Strength Enhanced Ferritic Steels and New and Emerging Computational Methods,C,0,24,0
Fatigue Fracture and Damage Analysis,C,0,18,0
Fatigue Fracture and Damage Analysis Volume 1,C,0,19,0
Fitness for Service Evaluations and Non-Linear Analysis,C,0,19,0
Fitness for Service Life Extension Remediation Repair and Erosion/Corrosion Issues for Pressure Vessels and Components,C,0,19,0
Flaw Evaluation Service Experience and Reliability,C,0,19,0
Flow-Induced Vibration,C,0,27,0
Fracture Methodologies and Manufacturing Processes,C,0,20,0
High Pressure Technology,C,0,12,0
High Pressure Technology Innovations and Advances in High Pressure Technology 12th Annual ASME/PVPD 2004 Student Paper Competition,C,0,24,0
High Pressure Technology Shaping High Pressure Technology for the Future,C,0,5,0
Journal of Applied Mechanics,J,54,0,0
