name,type,cy,by,ud
American Journal of Critical Care,J,39,0,22
Critical Care Nurse,J,24,0,0
AAPG Bulletin,J,9,0,0
Environmental Geosciences,J,1,6,48
Nordic Pulp and Paper Research Journal,J,15,0,0
Advanced Technology for Learning,J,28,0,100
Control and Intelligent Systems,J,42,0,1351
International Journal of Computers and Applications,J,53,0,1018
International Journal of Modelling and Simulation,J,57,32,593
International Journal of Power and Energy Systems,J,68,0,1216
International Journal of Robotics and Automation,J,27,0,279
Acta Virologica,J,11,0,0
Ekologia,J,17,0,0
Endocrine Regulations,J,5,0,0
General Physiology and Biophysics,J,12,0,0
Neoplasma,J,56,0,0
SCRIPT-ed,J,18,0,0
International Journal of Digital Content Technology and its Applications,J,21,0,0
Journal of Convergence Information Technology,J,16,0,0
Learned Publishing,J,15,0,0
Pesquisa Brasileira em Odontopediatria e Cl??nica Integrada,J,19,0,0
11th International Conference on Environmental Remediation and Radioactive Waste Management Parts A and B,C,224,0,0
15th Annual North American Waste-to-Energy Conference,C,31,0,0
16th Annual North American Waste-to-Energy Conference,C,34,0,0
2008 Second International Conference on Integration and Commercialization of Micro and Nanosystems,C,141,0,0
ASME 2007 Power Conference,C,94,0,0
ASME 2008 2nd International Conference on Energy Sustainability Volume 1,C,91,0,0
ASME 2008 2nd International Conference on Energy Sustainability Volume 2,C,86,0,0
ASME 2008 2nd Multifunctional Nanocomposites and Nanomaterials,C,30,0,0
ASME 2008 3rd Energy Nanotechnology International Conference,C,24,0,0
ASME 2008 3rd Frontiers in Biomedical Devices Conference,C,54,0,0
ASME 2008 6th International Conference on Fuel Cell Science Engineering and Technology,C,112,0,0
ASME 2008 6th International Conference on Nanochannels Microchannels and Minichannels,C,251,0,0
ASME 2008 First International Conference on Micro/Nanoscale Heat Transfer Parts A and B,C,194,0,0
ASME 2008 Internal Combustion Engine Division Spring Technical Conference,C,40,0,0
ASME 2008 Noise Control and Acoustics Division Conference,C,47,0,0
ASME 3rd International Conference on Microchannels and Minichannels Part B cont???d,C,0,96,0
ASME 5th International Conference on Nanochannels Microchannels and Minichannels,C,145,0,0
ASME/IEEE 2007 Joint Rail Conference and Internal Combustion Engine Division Spring Technical Conference,C,64,0,0
ASME/JSME 2007 Thermal Engineering Heat Transfer Summer Conference Volume 1,C,141,0,0
ASME/JSME 2007 Thermal Engineering Heat Transfer Summer Conference Volume 2,C,125,0,0
ASME/JSME 2007 Thermal Engineering Heat Transfer Summer Conference Volume 3,C,106,0,0
Advances in Electronic Packaging Parts A B and C,C,0,304,0
Applied Mechanics Reviews,J,2,848,7
First International Conference on Integration and Commercialization of Micro and Nanosystems Parts A and B,C,274,0,0
Heat Transfer Volume 1,C,0,115,0
Heat Transfer Volume 2,C,0,97,0
Heat Transfer Volume 3,C,0,121,0
Heat Transfer Volume 4,C,0,129,0
IEEE/ASME/ASCE 2008 Joint Rail Conference,C,43,0,0
Journal of Applied Mechanics,J,38,0,0
Journal of Biomechanical Engineering,J,38,484,0
Journal of Computational and Nonlinear Dynamics,J,13,0,0
Journal of Computing and Information Science in Engineering,J,11,0,0
Journal of Dynamic Systems Measurement and Control,J,18,0,0
Journal of Electronic Packaging,J,18,0,0
Journal of Energy Resources Technology,J,10,0,0
Journal of Engineering Materials and Technology,J,16,0,0
Journal of Engineering for Gas Turbines and Power,J,45,0,0
Journal of Fluids Engineering,J,39,0,0
Journal of Fuel Cell Science and Technology,J,22,0,0
Journal of Heat Transfer,J,84,0,0
Journal of Manufacturing Science and Engineering,J,21,0,0
Journal of Mechanical Design,J,63,0,0
Journal of Mechanisms and Robotics,J,30,0,0
Journal of Offshore Mechanics and Arctic Engineering,J,14,0,0
Journal of Pressure Vessel Technology,J,37,0,0
Journal of Solar Energy Engineering,J,19,0,0
Journal of Tribology,J,24,0,0
Journal of Turbomachinery,J,20,144,0
Journal of Vibration and Acoustics,J,15,0,0
Part B Magnetic Storage Tribology Manufacturing/Metalworking Tribology Nanotribology Engineered Surfaces Biotribology Emerging Technologies Special Symposia on Contact Mechanics Special Symposium on Nanotribology,C,0,95,0
STLE/ASME 2008 International Joint Tribology Conference,C,199,0,0
Volume 1 21st Biennial Conference on Mechanical Vibration and Noise Parts A B and C,C,255,0,0
Volume 1 Advances in Aerospace Technology,C,29,0,0
Volume 1 Offshore Technology Special Symposium on Ocean Measurements and Their Influence on Design,C,98,0,0
Volume 10 Mechanics of Solids and Structures Parts A and B,C,138,0,0
Volume 11 Micro and Nano Systems Parts A and B,C,163,0,0
Volume 12 New Developments in Simulation Methods and Software for Engineering Applications,C,20,0,0
Volume 13 Processing and Engineering Applications of Novel Materials,C,41,0,0
Volume 14 Safety Engineering Risk Analysis and Reliability Methods,C,27,0,0
Volume 15 Sustainable Products and Processes,C,36,0,0
Volume 16 Transportation Systems,C,50,0,0
Volume 2 27th Computers and Information in Engineering Conference Parts A and B,C,115,0,0
Volume 2 28th Biennial Mechanisms and Robotics Conference Parts A and B,C,0,172,0
Volume 2 Biomedical and Biotechnology Engineering,C,56,0,0
Volume 2 Structures Safety and Reliability Petroleum Technology Symposium,C,96,0,0
Volume 3 19th International Conference on Design Theory and Methodology 1st International Conference on Micro- and Nanosystems and 9th International Conference on Advanced Vehicle Tire Technologies Parts A and B,C,131,0,0
Volume 3 Design and Manufacturing,C,91,0,0
Volume 3 Pipeline and Riser Technology CFD and VIV,C,106,0,0
Volume 3d 8th Design for Manufacturing Conference,C,0,32,0
Volume 4 14th International Conference on Design Theory and Methodology Integrated Systems Design and Engineering Design and Culture,C,0,41,0
Volume 4 ASME/IEEE International Conference on Mechatronic and Embedded Systems and Applications and the 19th Reliability Stress Analysis and Failure Prevention Conference,C,114,0,0
Volume 4 Design Analysis Control and Diagnosis of Fluid Power Systems,C,29,0,0
Volume 4 Materials Technology Ocean Engineering,C,101,0,0
Volume 5 6th International Conference on Multibody Systems Nonlinear Dynamics and Control Parts A B and C,C,221,0,0
Volume 5 Electronics and Photonics,C,60,0,0
Volume 5 Ocean Space Utilization Polar and Arctic Sciences and Technology The Robert Dean Symposium on Coastal and Ocean Engineering Special Symposium on Offshore Renewable Energy,C,74,0,0
Volume 6 33rd Design Automation Conference Parts A and B,C,125,0,0
Volume 6 Energy Systems Analysis Thermodynamics and Sustainability,C,100,0,0
Volume 7 10th International Power Transmission and Gearing Conference,C,116,0,0
Volume 7 Engineering Education and Professional Development,C,103,0,0
Volume 8 31st Mechanisms and Robotics Conference Parts A and B,C,140,0,0
Volume 8 Heat Transfer Fluid Flows and Thermal Systems Parts A and B,C,214,0,0
Volume 9 Mechanical Systems and Control Parts A B and C,C,235,0,0
A0385 |Practice for Providing High-Quality Zinc Coatings (Hot-Dip),S,1,0,0
A0424 |Specification for Steel Sheet for Porcelain Enameling,S,1,0,0
A0471 |Specification for Vacuum-Treated Alloy Steel Forgings for Turbine Rotor Disks and Wheels,S,1,0,0
A0606 |Specification for Steel Sheet and Strip High-Strength Low-Alloy Hot-Rolled and Cold-Rolled with Improved Atmospheric Corrosion Resistance,S,1,0,0
A0780 |Practice for Repair of Damaged and Uncoated Areas of Hot-Dip Galvanized Coatings,S,1,0,0
A0805 |Specification for Steel Flat Wire Carbon Cold-Rolled,S,1,0,0
A0896 |Practice for Conducting Case Studies on Galvanized Structures,S,1,0,0
A0987 |Practice for Measuring Shape Characteristics of Tin Mill Products,S,1,0,0
B0918 |Practice for Heat Treatment of Wrought Aluminum Alloys,S,1,0,0
C0097 |Test Methods for Absorption and Bulk Specific Gravity of Dimension Stone,S,1,0,0
C0099 |Test Method for Modulus of Rupture of Dimension Stone,S,1,0,0
C0120 |Test Methods of Flexure Testing of Slate (Breaking Load Modulus of Rupture Modulus of Elasticity),S,1,0,0
C0121 |Test Method for Water Absorption of Slate,S,1,0,0
C0170 |Test Method for Compressive Strength of Dimension Stone,S,1,0,0
C0217 |Test Method for Weather Resistance of Slate,S,1,0,0
C0241 |Test Method for Abrasion Resistance of Stone Subjected to Foot Traffic,S,1,0,0
C0363 |Test Method for Delamination Strength of Honeycomb Core Materials,S,1,0,0
C0880 |Test Method for Flexural Strength of Dimension Stone,S,1,0,0
C1113 |Test Method for Thermal Conductivity of Refractories by Hot Wire (Platinum Resistance Thermometer Technique),S,1,0,0
C1201 |Test Method for Structural Performance of Exterior Dimension Stone Cladding Systems by Uniform Static Air Pressure Difference,S,1,0,0
C1352 |Test Method for Flexural Modulus of Elasticity of Dimension Stone,S,1,0,0
C1354 |Test Method for Strength of Individual Stone Anchorages in Dimension Stone,S,1,0,0
Classification for Laminated Composite Gasket Materials,S,1,0,0
Classification of Child-Resistant Packages,S,0,0,1
Consumer Safety Specification for Childrens Folding Chairs,S,1,0,0
Consumer Safety Specification for Frame Child Carriers,S,1,0,0
Consumer Safety Specification for Portable Bed Rails,S,1,0,0
Consumer Safety Specification for Scald-Preventing Devices and Systems in Bathing Areas,S,1,0,0
Consumer Safety Specification for Soft Infant Carriers,S,1,0,0
Consumer Safety Specification for Thermal-Shock-Preventing Devices and Systems in Showering Areas,S,1,0,0
Consumer Safety Specification for Toddler Beds,S,1,0,0
D0075 |Practice for Sampling Aggregates,S,1,0,0
D0242 |Specification for Mineral Filler For Bituminous Paving Mixtures,S,1,0,0
D0409 |Test Method for Grindability of Coal by the Hardgrove-Machine Method,S,1,0,0
D0692 |Specification for Coarse Aggregate for Bituminous Paving Mixtures,S,1,0,0
D3338 |Test Method for Estimation of Net Heat of Combustion of Aviation Fuels,S,1,0,0
F0025 |Test Method for Sizing and Counting Airborne Particulate Contamination in Cleanrooms and Other Dust-Controlled Areas,S,1,0,0
F2342 |Specification for Design and Construction of Composition or Quality Constituent Measuring Devices or Systems,S,1,0,0
Geotechnical Testing Journal,J,7,0,10
Guide Listing Relevant Standards and Publications for Commercial Shipbuilding,S,1,0,0
Guide for Collecting Performance Data on Temporary Storage Devices,S,1,0,0
Guide for Conducting Exfoliation Corrosion Tests in Aluminum Alloys,S,1,0,0
Guide for Conducting and Evaluating Galvanic Corrosion Tests in Electrolytes,S,1,0,0
Guide for Defining the Test Result of a Test Method,S,1,0,0
Guide for Determining Blown Density of Pneumatically Applied Loose-Fill Mineral Fiber Thermal Insulation,S,1,0,0
Guide for Determining Volatile and Nonvolatile Content of Pigments,S,1,0,0
