name,type,cy,by,ud
AAPG Bulletin,J,34,0,0
Learned Publishing,J,23,0,0
Journal of Failure Analysis &amp; Prevention,J,46,0,30
Journal of Materials Engineering and Performance,J,40,0,0
Journal of Phase Equilibria &amp; Diffusion,J,64,0,0
Journal of Thermal Spray Technology,J,22,0,44
Applied Mechanics Reviews,J,6,0,0
Journal of Applied Mechanics,J,46,0,0
Journal of Biomechanical Engineering,J,40,0,0
Journal of Computational and Nonlinear Dynamics,J,10,0,0
Journal of Computing and Information Science in Engineering,J,14,0,0
Journal of Dynamic Systems Measurement and Control,J,34,0,0
Journal of Electronic Packaging,J,12,0,0
Journal of Energy Resources Technology,J,13,0,0
Journal of Engineering Materials and Technology,J,26,0,0
Journal of Engineering for Gas Turbines and Power,J,55,0,0
Journal of Fluids Engineering,J,28,0,0
Journal of Fuel Cell Science and Technology,J,18,0,0
Journal of Heat Transfer,J,37,0,0
Journal of Manufacturing Science and Engineering,J,23,0,0
Journal of Mechanical Design,J,42,0,0
Journal of Offshore Mechanics and Arctic Engineering,J,10,0,0
Journal of Pressure Vessel Technology,J,24,0,0
Journal of Solar Energy Engineering,J,23,0,0
Journal of Turbomachinery,J,40,0,20
Journal of Vibration and Acoustics,J,16,0,0
Journal of ASTM International,J,84,0,0
Journal of Testing and Evaluation,J,21,0,1
Traumatology,J,9,0,0
Journal of the Acarological Society of Japan,J,6,5,0
The Journal of the Acoustical Society of America,J,299,0,0
Acoustical Science and Technology,J,11,0,0
Across Languages and Cultures,J,9,0,0
Acta Agronomica Hungarica,J,14,0,0
Acta Alimentaria,J,11,0,0
Acta Antiqua,J,22,0,0
Acta Biologica Hungarica,J,10,0,0
Acta Botanica Hungarica,J,20,0,0
Acta Ethnographica Hungarica,J,10,0,30
Acta Geodaetica et Geophysica Hungarica,J,22,0,0
Acta Geologica Hungarica,J,5,0,0
Acta Linguistica Hungarica,J,9,0,8
Acta Microbiologica et Immunologica Hungarica,J,8,0,8
Acta Oeconomica,J,5,0,0
Acta Physica Hungarica A) Heavy Ion Physics,J,46,0,46
Acta Physiologica Hungarica,J,13,0,13
Acta Veterinaria Hungarica,J,15,0,0
Akad??miai ??rtes??t&amp;#337,J,1,0,0
Community Ecology,J,0,0,2
Journal of Cultural and Evolutionary Psychology,J,7,0,7
Ment??lhigi??n?? es Pszichoszomatika,J,10,0,0
Society and Economy,J,11,0,0
Studia Musicologica,J,0,0,6
Studia Scientiarum Mathematicarum Hungarica,J,5,0,0
T&amp;#x000C1 rsadalom &amp;#x000C9 s Gazdas&amp;#x000C1 g,J,26,0,0
T&amp;#x000C1 rsadalomkutat&amp;#x000C1 s,J,7,0,0
International Family Planning Perspectives,J,5,0,0
Perspectives on Sexual and Reproductive Health,J,7,0,0
Built Environment,J,13,0,21
Stem Cells,J,70,0,89
The Oncologist,J,51,0,0
Journal of Oral Implantology,J,19,0,1
PEDIATRICS,J,332,0,36
Journal of Periodontology,J,104,0,31
Cancer Epidemiology Biomarkers &amp; Prevention,J,109,0,0
Cancer Research,J,399,0,52
Clinical Cancer Research,J,277,0,1
Molecular Cancer Research,J,17,0,6
Molecular Cancer Therapeutics,J,66,0,0
Clinical Chemistry,J,156,0,98
Science,J,1224,0,153
Science of Aging Knowledge Environment,J,18,0,0
Science s STKE,J,134,0,0
American Journal on Mental Retardation,J,17,0,18
Mental Retardation,J,7,0,12
AAPS PharmSciTech,J,30,0,0
The AAPS Journal,J,64,0,0
Medical Physics,J,80,0,0
American Journal of Physics,J,45,0,0
The Physics Teacher,J,34,0,0
ACS Chemical Biology,J,12,0,6
Accounts of Chemical Research,J,34,0,22
Analytical Chemistry,J,357,90,520
Biochemistry,J,467,0,129
Bioconjugate Chemistry,J,59,0,40
Biomacromolecules,J,181,1,74
Biotechnology Progress,J,115,0,4
Chemical Research in Toxicology,J,60,0,46
Chemical Reviews,J,85,0,22
Chemistry of Materials,J,218,2,42
Crystal Growth &amp; Design,J,191,1,30
Energy &amp; Fuels,J,117,1,1
Environmental Science &amp; Technology,J,331,1,262
Industrial &amp; Engineering Chemistry Research,J,439,0,104
Inorganic Chemistry,J,403,2,67
Journal of Agricultural and Food Chemistry,J,395,0,69
Journal of Chemical &amp; Engineering Data,J,136,0,4
Journal of Chemical Information and Modeling,J,39,0,3
Journal of Chemical Theory and Computation,J,82,0,5
Journal of Combinatorial Chemistry,J,44,1,2
Journal of Medicinal Chemistry,J,291,3,169
Journal of Natural Products,J,141,1,27
Journal of Physical Chemistry A,J,199,1,175
Journal of Physical Chemistry B,J,423,1,440
Journal of Proteome Research,J,123,0,3
Journal of the American Chemical Society,J,1012,1,224
Langmuir,J,531,1,239
Macromolecules,J,337,0,68
Molecular Pharmaceutics,J,40,0,1
Nano Letters,J,199,0,53
Organic Letters,J,487,1,207
Organic Process Research &amp; Development,J,92,0,2
Organometallics,J,299,2,104
The Journal of Organic Chemistry,J,459,1,189
The Journal of Physical Chemistry,J,0,1,0
The Journal of Physical Chemistry A,J,369,0,50
The Journal of Physical Chemistry B,J,635,0,55
The Cleft Palate-Craniofacial Journal,J,33,0,42
Chest,J,147,0,0
Journal of Veterinary Internal Medicine,J,38,0,23
Veterinary Pathology,J,34,0,0
Clinical Diabetes,J,12,0,0
Diabetes,J,310,0,0
Diabetes Care,J,553,0,159
Diabetes Spectrum,J,14,0,0
American Economic Review,J,45,0,1041
Journal of Economic Literature,J,27,0,148
Journal of Economic Perspectives,J,31,0,420
The American Economic Review,J,104,0,52
The Journal of Economic Perspectives,J,14,0,0
Journal of Aquatic Animal Health,J,7,0,122
North American Journal of Aquaculture,J,18,0,53
North American Journal of Fisheries Management,J,17,0,405
The Progressive Fish-Culturist,J,0,0,16
Transactions of the American Fisheries Society,J,31,0,5170
Computational Seismology and Geodynamics,J,0,1,0
Deleted DOIs,J,0,0,2
Geochemistry Geophysics Geosystems,J,67,0,12
Geophysical Research Letters,J,369,0,141
Global Biogeochemical Cycles,J,22,0,11
International Journal of Geomagnetism and Aeronomy,J,2,0,0
Journal of Geophysical Research,J,583,0,255
Paleoceanography,J,23,0,10
Radio Science,J,33,0,33
Reviews of Geophysics,J,3,0,2
Space Weather,J,16,0,2
Tectonics,J,22,0,7
Water Resources Research,J,102,0,87
AIP Conference Proceedings,C,1428,0,0
Applied Physics Letters,J,1324,0,1212
Chaos An Interdisciplinary Journal of Nonlinear Science,J,47,0,35
Journal of Applied Physics,J,1322,0,55
Journal of Mathematical Physics,J,96,0,85
Journal of Physical and Chemical Reference Data,J,6,0,0
Low Temperature Physics,J,22,0,0
Physics of Fluids,J,107,0,0
Physics of Plasmas,J,290,0,269
Review of Scientific Instruments,J,182,0,354
The Journal of Chemical Physics,J,699,0,757
American Journal of Science,J,74,139,0
Journal of International Marketing,J,7,0,0
Journal of Marketing,J,14,0,23
Journal of Marketing Research,J,19,0,0
Journal of Public Policy &amp; Marketing,J,13,0,0
Bulletin of the American Mathematical Society,J,6,0,12
Conformal Geometry and Dynamics of the American Mathematical Society,J,2,0,0
Electronic Research Announcements of the American Mathematical Society,J,4,0,0
Journal of the American Mathematical Society,J,13,0,8
Mathematics of Computation,J,31,0,0
Proceedings of the American Mathematical Society,J,110,0,90
Representation Theory of the American Mathematical Society,J,2,0,0
St Petersburg Mathematical Journal,J,6,0,0
Transactions of the American Mathematical Society,J,58,0,0
Archives of Dermatology,J,109,0,0
