name,type,cy,by,ud
American Journal of Critical Care,J,25,0,28
Critical Care Nurse,J,15,0,15
AAPG Bulletin,J,7,0,0
The International Journal of Forensic Computer Science,J,12,22,0
Acta Endocrinologica (Bucharest),J,14,0,1
Applied Simulation and Modelling,C,52,0,0
Computers and Advanced Technology in Education,C,44,0,0
Control and Intelligent Systems,J,5,0,232
Environmental Management and Engineering / 731 733 Unconventional Oil,C,38,0,0
Intelligent Systems and Control / 742 Computational Bioscience,C,63,0,0
International Journal of Computers and Applications,J,10,0,318
International Journal of Modelling and Simulation,J,9,0,350
International Journal of Power and Energy Systems,J,6,0,278
International Journal of Robotics and Automation,J,11,0,242
Modelling and Simulation,C,48,0,0
Power and Energy Systems,C,80,0,0
Signal and Image Processing and Applications / 716 Artificial Intelligence and Soft Computing,C,57,0,0
Endocrine Regulations,J,10,0,0
General Physiology and Biophysics,J,10,0,12
Neoplasma,J,25,0,0
INTERNATIONAL JOURNAL ON Advances in Information Sciences and Service Sciences,J,121,0,83
International Journal of Advancements in Computing Technology,J,147,0,242
International Journal of Digital Content Technology and its Applications,J,419,0,791
International Journal of Engineering and Industries,J,24,0,11
International Journal of Information Processing and Management,J,60,0,82
International Journal of Intelligent Information Processing,J,33,0,16
International Journal of Robots Education and Art,J,6,0,9
Journal of Communications and Information Sciences,J,0,0,7
Journal of Convergence Information Technology,J,391,0,1629
Journal of Next Generation Information Technology,J,44,0,23
The Journal of Object Technology,J,9,0,32
Learned Publishing,J,27,0,30
Revista da ANPEGE,J,11,0,0
American Journal of Occupational Therapy,J,15,0,17
Pesquisa Brasileira em Odontopediatria e Cl??nica Integrada,J,22,0,0
Physicae Proceedings,J,30,0,0
19th Annual North American Waste-to-Energy Conference,C,34,0,0
ASME 2011 International Manufacturing Science and Engineering Conference Volume 1,C,86,0,0
ASME 2011 International Manufacturing Science and Engineering Conference Volume 2,C,70,0,0
Applied Mechanics Reviews,J,2,0,0
Energy and Power Generation Handbook,B,35,0,0
International Conference on Computer Engineering and Technology 3rd (ICCET 2011),B,144,0,0
International Conference on Information Technology and Computer Science 3rd (ITCS 2011),B,162,0,0
International Conference on Software Technology and Engineering 3rd (ICSTE 2011),B,111,0,0
International Symposium on Information Engineering and Electronic Commerce 3rd (IEEC 2011),B,135,0,0
Journal of Applied Mechanics,J,47,0,62
Journal of Biomechanical Engineering,J,38,0,62
Journal of Computational and Nonlinear Dynamics,J,11,0,0
Journal of Computing and Information Science in Engineering,J,16,0,7
